,Person,Rasch_Stacking_Niveaustufen_Pre,Rasch_Stacking_Niveaustufen_Post,Rasch_Stacking_Niveaustufen_Differenz,SWJK,Note,SWK,FSK,AV,ALZO,VLZO,LZO,Inte,KLO,KLW,MKL,RZM,RSA,RAK,Rasch_Stacking_RF_Pre,Rasch_Stacking_RF_Post,Rasch_Stacking_RF_Differenz
30,LU28RE,4.66,3.64,-1.02,-1.38,1.7,1.09,-1.59,-1.16,-1.5,-5.62,3.38,2.68,1.1,1.56,0.83,-3.96,2.61,-6.85,4.14,2.69,-1.4499999999999997
31,MA06HE,-0.09,0.44,0.53,-1.38,1.4,0.52,1.1,-0.81,-1.5,-5.62,2.01,0.99,0.23,2.5,-0.33,-5.33,0.14,4.69,-1.6,-0.57,1.0300000000000002
32,ME23YA,0.27,,,-1.38,2.2,2.22,-0.48,-4.7,-2.07,-2.91,3.38,3.47,-1.13,2.02,0.39,-1.76,1.27,-9.73,-1.6,,
33,MÜ04KA,4.66,,,0.3,1.0,2.22,3.21,0.58,0.3,0.9,4.76,1.27,,0.0,,,,,4.14,,
34,NI12KA,0.48,1.07,0.5900000000000001,3.62,2.6,-0.05,-1.27,0.03,1.04,2.03,1.72,0.92,0.13,2.5,0.49,-0.78,-0.68,4.69,-0.1,0.03,0.13
35,OF29VL,-0.67,0.12,0.79,-1.14,2.4,1.65,0.24,-0.43,0.08,-0.38,2.01,0.99,2.36,0.68,0.63,-1.76,4.83,-10.92,-2.07,-0.92,1.15
36,RE15AN,-0.09,0.12,0.21,-0.71,2.0,3.57,-0.48,0.03,-1.77,-2.08,0.56,2.92,0.05,1.11,0.39,1.74,1.87,-3.62,-1.6,-1.31,0.29000000000000004
37,RI09JI,-1.21,0.3,1.51,0.75,3.2,0.52,-0.56,0.11,-0.79,1.1,-0.82,2.33,0.79,2.5,1.51,-3.02,-0.71,5.74,-3.3,-0.78,2.5199999999999996
38,RU19YV,-0.64,,,-2.8,3.0,3.57,2.68,-2.61,-5.11,-5.62,3.38,3.47,,0.0,,,,,-0.79,,
39,SA20AN,-0.33,-0.44,-0.10999999999999999,-0.5,1.9,-1.21,-1.58,-0.43,0.08,-2.46,0.33,1.16,1.55,1.56,1.85,-0.78,2.37,-6.85,-2.07,-3.03,-0.96
40,SC24SY,2.85,5.69,2.8400000000000003,-0.1,2.1,1.09,2.19,0.39,1.67,-0.38,2.41,2.03,1.1,-0.79,0.39,-1.76,0.73,5.74,3.26,4.75,1.4900000000000002
41,SI17SO,-0.03,,,-0.3,1.6,-0.05,-0.48,-0.92,0.08,-1.13,1.12,0.42,,0.0,,,,,-0.43,,
42,ST01MA,2.51,3.64,1.1300000000000003,2.73,2.1,2.84,2.19,-0.33,-0.14,-0.38,1.72,-0.38,-1.13,-0.44,0.11,0.44,-0.23,3.77,2.21,2.69,0.48
43,WE20SA,-0.45,-0.7,-0.24999999999999994,1.0,2.7,-0.05,-0.94,-0.25,-1.25,0.28,1.43,1.16,1.01,-0.1,-1.25,-3.96,-0.71,9.67,-2.62,-1.31,1.31
