,User,Category,Label,SecSpent,TotSec,LearnType,Level,UserCumSec,difficulty
98,0,1,ks2c,5,169885,1,0,2301,-1
99,0,1,Übersicht,2,169890,6,0,167250,-1
100,0,1,ks2a3,4,169892,4,0,167254,-1
101,0,1,ks2a2,13,169896,4,0,167267,-1
102,0,1,ks2a3b1_1a,10,169909,5,0,167277,-1
103,0,1,ks2a3,22,169919,4,0,167299,-1
104,0,1,ks2a3b4_1a,12,169941,5,0,167311,-1
105,0,1,ks2a3,31,169953,4,0,167342,-1
106,0,1,ks2a3k4_1a,3,169984,3,0,2304,-1
107,0,1,ks2a3,48,169987,4,0,167390,-1
108,0,1,ks2a3k2_1a,52,170035,3,0,2356,-1
109,0,1,ks2a3,5,170087,4,0,167395,-1
110,0,1,ks2c,4,170092,1,0,2360,-1
111,0,1,ks2a2,5,170096,4,0,167400,-1
112,0,1,ks2a4,4,170101,4,0,167404,-1
113,0,1,Übersicht,3,170105,6,0,167407,-1
114,0,1,ks2a,24,170108,6,0,167431,-1
115,0,1,ks2a4k4_1a,28,170132,3,0,2388,-1
116,0,1,ks2a4,4,170160,4,0,167435,-1
117,0,1,ks2a4k4_1a,53,170164,3,0,2441,-1
118,0,1,ks2a4,9,170217,4,0,167444,-1
119,0,1,ks2a5,59,170226,4,0,167503,-1
120,0,1,ks2a5b1_1a,17,170285,5,0,167520,-1
121,0,1,ks2a5,77,170302,4,0,167597,-1
122,0,1,ks2a5b4_1a,54,170379,5,0,167651,-1
123,0,1,ks2a5k2_1a,9,170433,3,0,2450,-1
124,0,1,ks2a5,74,170442,4,0,167725,-1
125,0,1,ks2a5,3,170516,4,0,167728,-1
126,0,1,ks2ev2,8,170519,0,0,2458,-1
127,0,1,ks2e,5,170527,6,0,167733,-1
128,0,1,ks2a,603,170532,6,0,168336,-1
129,0,2,bs3a1,12,171135,4,0,168348,-1
130,0,2,ks3a,5,171147,6,0,168353,-1
131,0,2,Übersicht,3,171152,6,0,168356,-1
132,0,2,ks3b,6,171155,6,1,168362,-1
133,0,2,Übersicht,4,171161,6,1,168366,-1
134,0,2,Tour,285,171165,6,1,168651,-1
135,0,2,ks3a1k4_1a,3,171450,3,0,2461,-1
136,0,2,bs3a1,11,171453,4,0,168662,-1
137,0,2,ks3a1b1_1a,41,171464,5,0,168703,-1
138,0,2,bs3a1,4,171505,4,0,168707,-1
139,0,2,ks3a7,440,171509,4,0,169147,-1
140,0,2,ks3a2b1_1a,25,171949,5,0,169172,-1
141,0,2,ks3a2b4_1a,10,171974,5,0,169182,-1
142,0,2,ks3a3,65,171984,4,0,169247,-1
143,0,2,ks3a3,22,172049,4,0,169269,-1
144,0,2,ks3a2k2_1a,77,172071,3,0,2538,-1
145,0,2,ks3a7,23,172148,4,0,169292,-1
146,0,2,bs3a1,26,172171,4,0,169318,-1
147,0,2,ks3a2k2_1a,32,172197,3,0,2570,-1
148,0,2,ks3a7,25,172229,4,0,169343,-1
149,0,2,bs3a1,29,172254,4,0,169372,-1
150,0,2,ks3a3,22,172283,4,0,169394,-1
151,0,2,ks3a2k2_1a,1,172305,3,0,2571,-1
152,0,2,ks3a2k4_1a,16,172306,3,0,2587,-1
153,0,2,ks3a3a,30,172322,3,0,2617,-1
154,0,2,ks3a3,240,172352,4,0,169634,-1
155,0,2,ks3a4,102,172592,4,0,169736,-1
156,0,2,ks3a4b4_1a,378,172694,5,0,170114,-1
157,0,2,ks3a4k4_1a,7,173072,3,0,2624,-1
158,0,2,ks3a4,146,173079,4,0,170260,-1
159,0,2,ks3a4,6,173225,4,0,170266,-1
160,0,2,ks3a4k4_1a,16,173231,3,0,2640,-1
161,0,2,ks3a4k4_1a,4,173247,3,0,2644,-1
162,0,2,ks3a4,4,173251,4,0,170270,-1
163,0,2,Übersicht,7,173255,6,0,170277,-1
164,0,2,ks3d,5,173262,1,1,2649,-1
165,0,2,Übersicht,4,173267,6,1,170281,-1
166,0,2,ks3a,8,173271,6,0,170289,-1
167,0,2,ks3b2,3,173279,4,1,170292,-1
168,0,2,ks3b,421,173282,6,1,170713,-1
169,0,2,ks3b2b4_1a,13,173703,5,1,170726,-1
170,0,2,ks3b2,7,173716,4,1,170733,-1
171,0,2,ks3b2b1_1a,74,173723,5,1,170807,-1
172,0,2,ks3b2k2_1a,16,173797,3,1,2665,-1
173,0,2,ks3b2,13,173813,4,1,170820,-1
174,0,2,ks3b2k4_1a,14,173826,3,1,2679,-1
175,0,2,ks3b2,93,173840,4,1,170913,-1
176,0,2,ks3b2,4,173933,4,1,170917,-1
177,0,2,ks3b1,457,173937,4,1,171374,-1
178,0,2,ks3b1b1_1a,20,174394,5,1,171394,-1
179,0,2,ks3b1,7,174414,4,1,171401,-1
180,0,2,ks3b1b4_1a,40,174421,5,1,171441,-1
181,0,2,ks3b1,5,174461,4,1,171446,-1
182,0,2,ks3b1b3_1a,109,174466,5,1,171555,-1
183,0,2,ks3b1k1_1a,2,174575,3,1,2681,-1
184,0,2,ks3b1,27,174577,4,1,171582,-1
185,0,2,Logout,3,174604,6,1,171585,-1
186,0,2,ks3b1,8,174607,4,1,171593,-1
187,0,2,ks3b1k1_1a,0,174615,3,1,2681,-1
188,1,2,Tour,18,509,6,1,18,-1
189,1,2,Übersicht,17,527,6,1,35,-1
190,1,0,ks1a,26,544,6,0,61,-1
191,1,0,ka1a1,70,570,4,0,131,-1
192,1,0,ka1a1,3,640,4,0,134,-1
193,1,0,ks1a1b1_1a,67,643,5,0,201,-1
194,1,0,ks1a1b2_1a,10,710,5,0,211,-1
195,1,0,ka1a1,7,720,4,0,218,-1
196,1,0,ks1a1b3_1a,18,727,5,0,236,-1
197,1,0,ks1a1b3_1a,20,745,5,0,256,-1
198,1,0,ka1a1,4,765,4,0,260,-1
199,1,0,ks1a1b4_1a,32,769,5,0,292,-1
200,1,0,ks1a1k1_1a,9,801,3,0,9,-1
201,1,0,ka1a1,47,810,4,0,339,-1
202,1,0,ks1a1k1_1a,105,857,3,0,114,-1
203,1,0,ks1a1k2_1a,210,962,3,0,324,-1
204,1,0,ks1a1k3_1a,51,1172,3,0,375,-1
205,1,0,ks1a2,17,1223,4,0,356,-1
206,1,0,ka1a1,94,1240,4,0,450,-1
207,1,0,ks1a2,5,1334,4,0,455,-1
208,1,0,ks1a2b1_1a,67,1339,5,0,522,-1
209,1,0,ks1a2b4_1a,48,1406,5,0,570,-1
210,1,0,ks1a2,98,1454,4,0,668,-1
211,1,0,ks1a2k1_1a,93,1552,3,0,468,-1
212,1,0,ks1a2,164,1645,4,0,832,-1
213,1,0,ks1a2k2_1a,46,1809,3,0,514,-1
214,1,0,ks1a2,80,1855,4,0,912,-1
215,1,0,ks1a2k4_1a,34,1935,3,0,548,-1
216,1,0,ks1a2,18,1969,4,0,930,-1
217,1,0,ks1a4,83,1987,4,0,1013,-1
218,1,0,ks1a4b1_1a,19,2070,5,0,1032,-1
219,1,0,ks1a4b2_1a,3,2089,5,0,1035,-1
220,1,0,ks1a4,6,2092,4,0,1041,-1
221,1,0,ks1a4,19,2098,4,0,1060,-1
222,1,0,ks1a4b4_1a,10,2117,5,0,1070,-1
223,1,0,ks1a4,10,2127,4,0,1080,-1
224,1,0,ks1a4b3_1a,31,2137,5,0,1111,-1
225,1,0,ks1a4,13,2168,4,0,1124,-1
226,1,0,ks1a4k1_1a,1,2181,3,0,549,-1
227,1,0,ks1a4,80,2182,4,0,1204,-1
228,1,0,ks1a4,1,2262,4,0,1205,-1
229,1,0,ks1a4k3_1a,191,2263,3,0,740,-1
230,1,0,ks1a5,153,2454,4,0,1358,-1
231,1,0,ks1a5b1_1a,6,2607,5,0,1364,-1
232,1,0,ks1a5,65,2613,4,0,1429,-1
233,1,0,ks1a5k3_1a,23,2678,3,0,763,-1
234,1,0,ks1a5,20,2701,4,0,1449,-1
235,1,0,ks1c,23,2721,1,0,786,-1
