,User,NSt_Pre,NSt_Post,NSt_Diff,SWJK,Note,SWK,FSK,AV,ALZO,VLZO,LZO,Inte,KLO,KLW,MKL,RZM,RSA,RAK,RF_Pre,RF_Post,RF_Diff,TestsActs,ÜbungenActs,KurzaufgabenActs,BeispieleActs,BK_InfoActs,Ü_InfoActs,Übersicht,LearnActs,InfoActs,Learn2Acts,Info2Acts,TotActs,Learn,Info,Learn2,Info2,Tot,ShortLearnActs,ShortInfoActs,LongLearnActs,LongInfoActs,K+BActs,K+ÜActs,K+Ü+TActs,K+B+ÜActs,K+BKIActs,B+BKIActs,Ü+ÜIActs,BKI+ÜIActs,K+B+BKIActs,K+B+BKI+ÜIActs,K+B+BKI+Ü+ÜIActs,readActs,Tests_TimePerAct,Übungen_TimePerAct,Kurzaufgaben_TimePerAct,Beispiele_TimePerAct,BK_Info_TimePerAct,Ü_Info_TimePerAct,Learn_TimePerAct,Info_TimePerAct,Learn2_TimePerAct,Info2_TimePerAct,Tot_TimePerAct,K+B_TimePerAct,K+Ü_TimePerAct,K+Ü+T_TimePerAct,K+B+Ü_TimePerAct,K+BKI_TimePerAct,B+BKI_TimePerAct,Ü+ÜI_TimePerAct,BKI+ÜI_TimePerAct,K+B+BKI_TimePerAct,K+B+BKI+ÜI_TimePerAct,K+B+BKI+Ü+ÜI_TimePerAct,read_TimePerAct,duplicates,nCat,LearnTypeEntropy,CategoryEntropy,DidTest,f1,f2,f12,f1Amp,f2Amp,f12Amp,fMean,PredChance1,PredChance2,PredChance3,PredChance4,CondEntropy1,CondEntropy2,CondEntropy3,CondEntropy4,BeforeTestTime,AfterTestTime,TimePerCat,TRegr Fit,ÜRegr Fit,BKRegr Fit,CatTRegr Fit,CatÜRegr Fit,CatBKRegr Fit,DiffLowRegr Fit,DiffMedRegr Fit,DiffHighRegr Fit,KÜfRegr Fit,KÜtwrRegr Fit,KÜrRegr Fit,TResQuantRegr Fit,TSecSpentRegr Fit,ÜSecSpentRegr Fit,BKSecSpentRegr Fit,SecSpentRegr Fit,meanResponsTask,meanTestResQual,meanTestResQuant,meandifficulty,nResponsTask,nTestResQual,nTestResQuant,ndifficulty,backfrac,foolfrac1,foolfrac2,foolfrac12,Tests,Übungen,Kurzaufgaben,Beispiele,BK_Info,Ü_Info,Cat_0,Cat_1,Cat_2,Cat_3,Cat_4,Cat_5,Grund,Erweitert,K+B,K+Ü,K+Ü+T,K+B+Ü,K+BKI,B+BKI,Ü+ÜI,BKI+ÜI,K+B+BKI,K+B+BKI+ÜI,K+B+BKI+Ü+ÜI,ShortActs,LongActs,read,LearnPerc,InfoPerc,Learn2Perc,Info2Perc,LearnActsPerc,InfoActsPerc,Learn2ActsPerc,Info2ActsPerc,duplicatesPerc,ShortLearnActsPerc,ShortInfoActsPerc,LongLearnActsPerc,LongInfoActsPerc,ShortActsPerc,LongActsPerc
0,0,-0.67,0.12,0.79,-1.14,2.4,1.65,0.24,-0.43,0.08,-0.38,2.01,0.99,2.36,0.68,0.63,-1.76,4.83,-10.92,-2.07,-0.92,1.15,10,6,9,19,41,4,163,44,45,25,63,103,4637,3599,3841,4395,8399,9,28,3,5,28,15,25,34,50,60,10,45,69,73,79,60,4.36,1.647222222222222,1.1703703703703705,0.6982456140350877,1.431707317073171,0.3208333333333333,1.756439393939394,1.332962962962963,2.560666666666666,1.1626984126984126,1.3590614886731391,0.85,1.3611111111111112,2.560666666666666,0.9906862745098038,1.3846666666666667,1.1994444444444443,1.1166666666666667,1.332962962962963,1.1956521739130437,1.147716894977169,1.1856540084388183,1.1994444444444443,61,2,84.16007352832787,38.61108079858308,1,13,4,8.5,29.545454545454547,27.27272727272727,56.81818181818181,10.55897435897436,85.29411764705883,88.11881188118812,93.0,94.94949494949496,38.67294743305351,34.75065186133701,26.1775724160792,16.67215154138332,21.008333333333333,27.183333333333334,69.99166666666666,0.3595258429604078,0.0173731300673658,-0.3768989730277736,0.2496447086848879,0.1007937279484938,-0.3504384366333816,0.0,0.0,0.0,0.0,0.0,0.0,7.460652689309026,-1091.848168626044,619.2723476157299,436.030804333987,259.46399989808634,1.5,1.0,54.0,0.0,4,2,2,6,0.1,0.375,0.075,0.45,31.146565067269915,7.060364329086796,7.52470532206215,9.47731872842005,41.9335635194666,0.916775806643648,47.42231218002143,52.57768781997857,0.0,0.0,0.0,0.0,100.0,0.0,17.002024050482202,14.585069651148949,45.73163471841886,24.062388379569,49.45826884152875,51.41088224788666,7.977140135730444,42.85033932611025,58.9355875699488,59.85236337659246,66.91272770567925,0.4405286343612335,0.0952494344564829,51.41088224788666,55.208953446838905,42.85033932611025,45.73163471841886,52.3276580545303,42.71844660194174,43.68932038834952,24.271844660194176,61.16504854368932,59.22330097087378,8.737864077669903,27.184466019417474,2.912621359223301,4.854368932038835,0.4276977032633334,0.092475179083964
1,2,0.33,0.61,0.2799999999999999,-1.64,1.5,-0.64,-1.59,-0.71,-0.35,-2.91,1.12,1.46,0.24,1.11,0.96,0.84,-0.23,-3.62,-0.79,-0.26,0.53,0,5,40,0,21,2,77,45,23,45,45,82,5882,2369,5882,2369,8328,0,4,19,0,40,45,45,45,61,21,7,23,61,63,68,21,0.0,1.4333333333333331,2.271666666666667,0.0,1.8642857142857143,0.1666666666666666,2.1785185185185183,1.7166666666666666,2.1785185185185183,0.8774074074074074,1.6926829268292682,2.271666666666667,2.1785185185185183,2.1785185185185183,2.1785185185185183,2.1314207650273227,1.8642857142857143,1.0714285714285716,1.7166666666666666,2.1314207650273227,2.069047619047619,2.022303921568628,1.8642857142857143,12,6,49.092155547385566,77.54484863691246,0,24,16,20.0,53.333333333333336,35.55555555555556,88.88888888888889,27.50333333333333,88.88888888888889,92.5,92.40506329113924,92.3076923076923,43.89323117368463,35.438272498340616,26.15583008122613,23.59294599725721,0.0,0.0,23.133333333333333,0.0,0.0638748710669687,-0.0638748710669699,0.0,0.057286170814042,-0.0572861708140425,0.0,0.0,0.0,0.0235620723185525,-0.242773569952643,0.2192114976340909,0.0,0.0,1265.734059997202,-15.699671294618309,-8.479685301277144,1.3571428571428572,-1.0,-1.0,0.0,42,0,0,5,0.0,0.6222222222222222,0.0666666666666666,0.6888888888888889,0.0,5.163304514889529,65.46589817483189,0.0,28.206051873198845,0.2401536983669548,43.03554274735831,27.485590778097983,5.5235350624399615,6.460134486071086,16.786743515850144,0.7084534101825168,100.0,0.0,65.46589817483189,70.62920268972142,70.62920268972142,70.62920268972142,93.67195004803074,28.206051873198845,5.403458213256484,28.4462055715658,93.67195004803074,93.91210374639768,99.07540826128722,0.0480307396733909,0.2281460134486071,28.206051873198845,70.62920268972142,28.4462055715658,70.62920268972142,28.4462055715658,54.87804878048781,28.04878048780488,54.87804878048781,54.87804878048781,14.634146341463412,0.0,4.878048780487805,23.170731707317078,0.0,0.058574072772428,0.278226845669033
2,3,-0.09,0.44,0.53,-1.38,1.4,0.52,1.1,-0.81,-1.5,-5.62,2.01,0.99,0.23,2.5,-0.33,-5.33,0.14,4.69,-1.6,-0.57,1.0300000000000002,0,0,18,11,19,0,125,29,19,18,40,53,2267,1404,1738,1933,3796,3,0,6,0,29,18,18,29,37,30,0,19,48,48,48,30,0.0,0.0,1.6092592592592594,0.8015151515151515,1.231578947368421,0.0,1.3028735632183908,1.231578947368421,1.6092592592592594,0.8054166666666667,1.193710691823899,1.3028735632183908,1.6092592592592594,1.6092592592592594,1.3028735632183908,1.4153153153153153,1.073888888888889,0.0,1.231578947368421,1.274652777777778,1.274652777777778,1.274652777777778,1.073888888888889,18,3,62.18066792718358,24.629171563540748,0,4,1,2.5,68.96551724137932,17.24137931034483,86.20689655172414,61.18333333333333,96.15384615384616,96.07843137254902,96.0,95.91836734693877,32.064811426401704,22.39407312939908,22.146527289307823,21.887184832478194,0.0,0.0,21.08888888888889,0.0,0.0,-1.0709499668458266e-15,0.0,0.0,4.1055509063949794e-16,0.0,0.0,0.0,0.3394871676698046,0.9437611285256045,-1.2832482961954104,0.0,0.0,0.0,32.87165873385712,32.87165873385712,1.4,-1.0,-1.0,-1.0,10,0,0,0,0.1034482758620689,0.5862068965517241,0.1034482758620689,0.689655172413793,0.0,0.0,45.785036880927294,13.93572181243414,36.98630136986301,0.0,2.5816649104320337,0.0,0.0,9.957850368809272,87.46048472075869,0.0,100.0,0.0,59.72075869336143,45.785036880927294,45.785036880927294,59.72075869336143,82.77133825079031,50.92202318229716,0.0,36.98630136986301,96.70706006322445,96.70706006322445,96.70706006322445,0.0790305584826132,0.1580611169652265,50.92202318229716,59.72075869336143,36.98630136986301,45.785036880927294,50.92202318229716,54.71698113207547,35.84905660377358,33.9622641509434,75.47169811320755,33.9622641509434,5.660377358490567,0.0,11.320754716981131,0.0,0.1491142612879495,0.2982285225758991
3,4,0.04,0.27,0.23,-0.3,1.7,1.65,1.57,-2.69,-1.77,-4.31,0.33,1.91,0.79,1.11,1.51,-1.76,1.1,1.29,-2.07,-0.57,1.5,6,13,2,5,18,6,301,26,24,21,31,72,3502,3574,3149,3927,7377,2,8,1,4,7,15,21,20,20,23,19,24,25,31,44,23,5.077777777777778,1.6192307692307693,0.4833333333333333,1.1766666666666663,3.1175925925925925,0.575,2.2448717948717944,2.4819444444444443,2.499206349206349,2.111290322580645,1.7076388888888887,0.9785714285714284,1.4677777777777776,2.499206349206349,1.395,2.8541666666666665,2.6956521739130435,1.2894736842105263,2.4819444444444443,2.518666666666667,2.14247311827957,1.987878787878788,2.6956521739130435,18,6,75.70654321374676,98.80093636730328,1,9,3,6.0,34.61538461538461,23.07692307692308,57.69230769230769,13.103703703703705,76.05633802816901,87.14285714285714,91.30434782608695,94.11764705882352,62.382759526694585,42.42407342068033,33.23637170625567,28.671497554029823,5.7,6.511111111111111,20.491666666666667,0.2354642125578305,-0.7680162936313719,0.5325520810735414,-0.0386498955466602,-0.1040483561559202,0.14269825170258,0.058876024968634,-0.4134764331676097,0.3546004081989757,0.0,0.0,0.0,76.49842501184958,-1264.7730760814447,-18.134263784058888,462.13354843261226,61.25701167656092,0.3333333333333333,0.5,52.0,1.0,3,2,2,13,0.217391304347826,0.217391304347826,0.1304347826086956,0.3478260869565217,24.779720753693912,17.120780805205367,0.786227463738647,4.785143012064525,45.64185983462112,2.8060187067913787,23.96638199810221,14.368984682120104,14.694320184356783,13.067642673173378,16.239663819981022,17.663006642266506,93.35773349600107,6.642266503998916,5.571370475803173,17.907008268944015,42.686729022637934,22.69215128100854,46.42808729835976,50.42700284668564,19.926799511996744,48.4478785414125,51.21323031042429,54.01924901721568,71.14002982242104,0.1355564592652839,0.0677782296326419,50.42700284668564,47.47187203470246,48.4478785414125,42.686729022637934,53.23302155347702,36.11111111111111,33.33333333333333,29.166666666666668,43.05555555555556,25.0,2.7777777777777777,11.11111111111111,1.3888888888888888,5.555555555555555,0.1882728600906721,0.094136430045336
4,5,-0.56,0.61,1.17,-1.14,3.2,-0.64,-0.9,0.58,-0.79,-1.42,1.72,0.92,-0.7,-1.14,0.03,-3.02,-0.23,-0.16,-2.62,-0.57,2.0500000000000003,4,1,4,36,68,2,294,45,70,9,81,140,2596,4897,1083,6410,7787,12,23,2,2,40,5,9,41,72,104,3,70,108,110,111,104,3.1083333333333334,0.4166666666666667,1.3,0.700462962962963,1.1901960784313723,0.3416666666666667,0.9614814814814816,1.1659523809523809,2.0055555555555555,1.3189300411522633,0.9270238095238096,0.7604166666666666,1.1233333333333335,2.0055555555555555,0.7520325203252033,1.1962962962962962,1.020673076923077,0.3666666666666666,1.1659523809523809,1.0310185185185186,1.0184848484848483,1.013063063063063,1.020673076923077,64,6,62.62289814521643,92.92242402762427,1,18,10,14.0,40.0,22.22222222222222,62.22222222222222,17.84047619047619,87.76978417266187,89.13043478260869,90.51094890510949,93.38235294117648,37.05679923219167,29.38352790399088,27.91370822299182,26.346731545395365,2.933333333333333,0.0,21.630555555555556,0.1233765429430048,0.0081936314180887,-0.1315701743610933,0.1085773093388901,0.013101165747664,-0.1216784750865542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4473.021458767304,978.5920541670812,23.68438839578656,16.440990351359062,-1.0,1.0,50.0,0.0,0,1,1,1,0.1538461538461538,0.2307692307692307,0.0256410256410256,0.2564102564102564,9.580069346346477,0.3210479003467317,4.006677796327212,19.429818928984204,62.36034416334917,0.52651855656864,11.840246564787469,14.76820341594966,25.64530627969693,3.801207140105304,26.492872736612306,17.452163862848337,78.52831642481058,21.471683575189417,23.436496725311414,4.327725696673944,13.907795043020418,23.75754462565815,66.36702195967639,81.79016309233337,0.8475664569153718,62.886862719917815,85.79684088866058,86.32335944522923,86.64440734557596,0.4494670604854244,0.051367664055477,81.79016309233337,33.33761397200462,62.886862719917815,13.907795043020418,82.31668164890202,32.142857142857146,50.0,6.428571428571428,57.85714285714286,45.71428571428572,8.571428571428571,16.428571428571427,1.4285714285714286,1.4285714285714286,0.3210479003467317,0.036691188611055
5,6,0.33,0.61,0.2799999999999999,0.1,2.4,1.09,3.1,-1.02,0.3,-2.46,2.01,2.12,1.26,0.68,-0.05,-1.76,-0.71,1.29,-1.17,-0.26,0.91,0,0,17,33,47,0,77,50,47,17,83,108,5116,3217,2739,5594,8410,6,9,15,1,50,17,17,50,64,80,0,47,97,97,97,80,0.0,0.0,2.685294117647059,1.2005050505050503,1.1407801418439716,0.0,1.7053333333333331,1.1407801418439716,2.685294117647059,1.123293172690763,1.2978395061728394,1.7053333333333331,2.685294117647059,2.685294117647059,1.7053333333333331,1.5510416666666669,1.1654166666666663,0.0,1.1407801418439716,1.431786941580756,1.431786941580756,1.431786941580756,1.1654166666666663,47,4,67.78556709936956,58.80930794952709,0,4,2,3.0,48.0,16.0,64.0,138.88333333333333,92.5233644859813,93.39622641509436,93.33333333333331,93.26923076923076,44.13394191803883,43.10527708574112,41.19109078877145,39.90422261937313,0.0,0.0,35.041666666666664,0.0,0.0,8.107243028650934e-16,0.0,0.0,3.2888988566306893e-16,0.0,0.0,0.0,0.0502907004821015,0.0,-0.0502907004821013,0.0,0.0,0.0,31.797155748841146,31.797155748841146,1.8,-1.0,-1.0,-1.0,10,0,0,0,0.02,0.78,0.04,0.8200000000000001,0.0,0.0,32.56837098692033,28.26397146254459,38.25208085612366,0.0,9.417360285374556,0.0,12.615933412604043,14.60166468489893,63.36504161712247,0.0,100.0,0.0,60.832342449464925,32.56837098692033,32.56837098692033,60.832342449464925,70.820451843044,66.51605231866824,0.0,38.25208085612366,99.0844233055886,99.0844233055886,99.0844233055886,0.178359096313912,0.1902497027348395,66.51605231866824,60.832342449464925,38.25208085612366,32.56837098692033,66.51605231866824,46.2962962962963,43.51851851851852,15.74074074074074,76.85185185185185,43.51851851851852,5.555555555555555,8.333333333333332,13.88888888888889,0.9259259259259258,0.1651473114017703,0.1761571321618884
6,7,0.18,0.34,0.16,2.09,2.5,-0.05,-1.84,-1.02,-2.07,1.1,2.01,-1.19,1.26,0.28,-0.33,-5.33,-1.46,9.67,-1.17,-1.31,-0.1400000000000001,12,17,20,26,57,17,90,75,74,49,101,161,7298,1204,6365,2137,8592,10,49,4,0,46,37,49,63,77,83,34,74,103,120,137,83,5.288888888888889,1.2264705882352942,1.0883333333333334,0.5980769230769231,0.2461988304093567,0.3549019607843137,1.6217777777777778,0.2711711711711712,2.1649659863945576,0.3526402640264026,0.8894409937888199,0.811231884057971,1.151801801801802,2.1649659863945576,0.9232804232804234,0.4649350649350649,0.356425702811245,0.7906862745098039,0.2711711711711712,0.4985436893203883,0.4781944444444444,0.5710462287104623,0.356425702811245,86,3,89.12105427534522,44.879991243077264,1,4,6,5.0,26.666666666666668,24.0,50.66666666666667,9.446666666666664,89.375,89.937106918239,91.13924050632912,93.63057324840764,29.40597505951219,24.347563500871143,20.279821208261627,18.977560485770383,37.55,0.0416666666666666,47.73333333333333,0.3360333661932571,0.2017380387935554,-0.5377714049868128,0.2385635376730563,0.207219640969329,-0.4457831786423868,-0.6234930131422147,0.4592550810648892,0.1642379320773255,0.0,0.0,0.0,-13.358840106036284,379.99765755520826,-180.95405089669543,-14.604592704773363,83.22826552903145,1.5,1.3333333333333333,70.33333333333333,1.0,2,3,3,17,0.0895522388059701,0.3582089552238806,0.1194029850746268,0.4776119402985074,44.32029795158287,14.560055865921786,15.200186219739292,10.858938547486034,9.799813780260708,4.213221601489757,54.56238361266295,42.26024208566108,3.177374301675977,0.0,0.0,0.0,100.0,0.0,26.059124767225327,29.760242085661083,74.08054003724395,40.61918063314711,25.0,20.65875232774674,18.773277467411543,14.013035381750466,35.858938547486034,40.0721601489758,54.63221601489758,0.6866852886405959,0.0465549348230912,20.65875232774674,84.93947858472998,14.013035381750466,74.08054003724395,24.8719739292365,46.58385093167702,45.962732919254655,30.434782608695656,62.732919254658384,53.41614906832298,6.211180124223603,30.434782608695656,2.484472049689441,0.0,0.4265126016401216,0.0289161085857709
7,8,1.36,0.27,-1.09,0.52,1.3,0.52,1.57,-2.19,0.3,1.31,1.43,1.52,1.26,1.11,0.13,0.05,0.6,-6.85,0.52,-1.31,-1.83,4,52,0,11,34,32,90,67,66,56,78,146,6136,2143,5854,2425,8369,3,35,4,0,11,52,56,63,34,45,84,66,45,77,129,45,2.8291666666666666,1.6586538461538465,0.0,0.4272727272727273,0.878921568627451,0.1822916666666666,1.5263681592039802,0.5411616161616162,1.7422619047619048,0.5181623931623932,0.9553652968036528,0.4272727272727273,1.6586538461538465,1.7422619047619048,1.4436507936507936,0.878921568627451,0.7685185185185186,1.0962301587301586,0.5411616161616162,0.7685185185185186,0.5248917748917749,0.9819121447028424,0.7685185185185186,50,6,57.25252980854499,82.73924612341686,1,21,15,18.0,31.343283582089555,22.388059701492537,53.73134328358209,10.614102564102565,90.3448275862069,92.36111111111111,93.7062937062937,94.3661971830986,31.48535437321514,24.08809597775674,19.8932725610013,18.922381694768884,20.116666666666667,14.675,23.24722222222222,0.0614628269271011,0.1060561477237161,-0.1675189746508174,-0.0153701773169303,1.0747833307029255,-1.0594131533859958,-0.4079405944641444,0.0683258669755322,0.339614727488612,-0.0841601775266979,-0.183589145110111,0.2677493226368091,0.0,1115.977661381335,43.78289719634012,134.31752053416403,45.20320762506896,1.64,1.0,58.0,1.1923076923076923,25,1,1,52,0.0923076923076923,0.2769230769230769,0.0307692307692307,0.3076923076923077,8.113275182220098,61.8353447245788,0.0,3.369578205281396,21.42430397897001,4.182100609391803,17.278049946230134,22.643087585135618,35.3566734376867,0.94395985183415,2.9752658621101684,20.802963317003226,100.0,0.0,3.369578205281396,61.8353447245788,69.94861990679891,65.2049229298602,21.42430397897001,24.7938821842514,66.0174453339706,25.606404588361816,24.7938821842514,28.975982793643208,90.811327518222,0.45405663759111,0.0477954355359063,24.7938821842514,73.3181981120803,25.606404588361816,69.94861990679891,28.975982793643208,45.89041095890411,45.20547945205479,38.35616438356164,53.42465753424658,34.24657534246575,2.054794520547945,23.972602739726025,2.73972602739726,0.0,0.3109976969802123,0.0327365996821276
8,9,-0.87,0.0,0.0,-4.93,3.2,2.84,1.26,-1.16,-1.5,-5.62,4.76,0.75,0.0,0.0,0.0,0.0,0.0,0.0,-2.07,0.0,0.0,0,20,3,4,8,14,70,27,22,23,31,57,2551,938,2088,1401,3559,0,11,3,0,7,23,23,27,11,12,34,22,15,29,49,12,0.0,1.4425,1.9833333333333332,1.9291666666666667,1.075,0.5023809523809524,1.5746913580246913,0.7106060606060606,1.5130434782608695,0.753225806451613,1.040643274853801,1.9523809523809523,1.5130434782608695,1.5130434782608695,1.5746913580246913,1.3227272727272728,1.359722222222222,1.0553921568627451,0.7106060606060606,1.4844444444444445,1.0103448275862068,1.186734693877551,1.359722222222222,29,2,67.21785472187291,27.154574892443108,0,17,3,10.0,62.96296296296296,22.22222222222222,85.18518518518519,14.5375,91.07142857142856,94.54545454545456,94.44444444444444,94.33962264150944,34.54675384524075,28.893686030897136,19.22647572099268,18.198351865577205,0.0,0.0,29.65833333333333,0.0,0.9401846574768682,-0.9401846574768687,0.0,0.940472199137598,-0.9404721991375972,0.7067572781889071,0.6400683370381378,-1.346825615227045,0.0,0.0,0.0,0.0,0.0,-38.74563632142029,-79.10546029630183,-49.44441218684999,1.0,-1.0,-1.0,1.0,5,0,0,20,0.1481481481481481,0.1111111111111111,0.074074074074074,0.1851851851851851,0.0,48.637257656645126,10.030907558302896,13.009272267490868,14.498454622084855,11.85726327620118,80.97780275358247,19.022197246417534,0.0,0.0,0.0,0.0,100.0,0.0,23.040179825793764,58.66816521494802,58.66816521494802,71.67743748243889,24.52936218038775,27.50772688957572,60.49452093284631,26.355717898286034,37.53863444787861,49.3958977240798,98.03315538072492,0.3090755830289407,0.0842933408260747,27.50772688957572,71.67743748243889,26.355717898286034,58.66816521494802,39.3649901657769,47.368421052631575,38.59649122807017,40.35087719298245,54.38596491228071,50.877192982456144,0.0,19.29824561403509,5.263157894736842,0.0,0.5422378649630539,0.1478830540808328
9,10,-0.33,-0.44,-0.1099999999999999,-0.5,1.9,-1.21,-1.58,-0.43,0.08,-2.46,0.33,1.16,1.55,1.56,1.85,-0.78,2.37,-6.85,-2.07,-3.03,-0.96,15,24,36,33,91,19,69,108,110,75,141,232,6496,1889,6144,2241,8454,41,70,3,0,69,60,75,93,127,124,43,110,160,179,203,124,3.306666666666666,1.234722222222222,0.6435185185185186,0.1777777777777777,0.2992673992673992,0.2236842105263158,1.002469135802469,0.2862121212121212,1.3653333333333333,0.2648936170212766,0.6073275862068965,0.4207729468599034,0.88,1.3653333333333333,0.6308243727598567,0.3968503937007874,0.2669354838709677,0.787984496124031,0.2862121212121212,0.3516666666666667,0.3380819366852886,0.4440886699507389,0.2669354838709677,120,3,90.77111085011433,56.94642819802205,1,4,3,3.5,33.33333333333333,25.0,58.33333333333333,8.220588235294118,92.2077922077922,92.17391304347828,92.5764192139738,94.2982456140351,23.03374810678861,19.38746517530099,16.74876628849259,16.44012583978585,31.516666666666666,1.525,46.96666666666667,0.286350881147297,-0.0668753617372215,-0.2194755194100757,0.2384157008406185,-0.1288547884934014,-0.1095609123472171,-0.2868328341023785,0.0058207309708591,0.2810121031315185,0.0990180272530883,-0.0004649559474261,-0.0985530713056624,-11.298292488144163,-166.53164859848658,-17.850118610161637,11.349596114513847,-11.812728930021825,1.125,1.0,63.0,0.875,16,5,5,24,0.0721649484536082,0.4742268041237113,0.1649484536082474,0.6391752577319587,35.20227111426544,21.0314643955524,16.441920984149515,4.163709486633546,19.32812869647504,3.0163236337828248,49.751596877217885,32.351549562337354,17.896853560444757,0.0,0.0,0.0,100.0,0.0,20.605630470783066,37.47338537970192,72.67565649396735,41.63709486633546,35.77004968062455,23.491838183108587,24.047788029335223,22.344452330257862,39.9337591672581,42.95008280104093,63.981547196593326,1.312987934705465,0.0354861603974449,23.491838183108587,76.8393659806009,22.344452330257862,72.67565649396735,26.508161816891413,46.55172413793103,47.41379310344828,32.327586206896555,60.77586206896552,51.72413793103448,17.67241379310345,30.17241379310345,1.293103448275862,0.0,0.5659430753040797,0.0152957587920021
