,User,TestsActs,ÜbungenActs,KurzaufgabenActs,BeispieleActs,BK_InfoActs,Ü_InfoActs,Übersicht,LearnActs,InfoActs,TotActs,Learn,Info,Tot,ShortLearnActs,ShortInfoActs,LongLearnActs,LongInfoActs,K+BActs,K+ÜActs,K+Ü+TActs,K+B+ÜActs,K+BKIActs,B+BKIActs,Ü+ÜIActs,BKI+ÜIActs,K+B+BKIActs,K+B+BKI+ÜIActs,K+B+BKI+Ü+ÜIActs,readActs,Tests_tpa,Übungen_tpa,Kurzaufgaben_tpa,Beispiele_tpa,BK_Info_tpa,Ü_Info_tpa,Learn_tpa,Info_tpa,Tot_tpa,K+B_tpa,K+Ü_tpa,K+Ü+T_tpa,K+B+Ü_tpa,K+BKI_tpa,B+BKI_tpa,Ü+ÜI_tpa,BKI+ÜI_tpa,K+B+BKI_tpa,K+B+BKI+ÜI_tpa,K+B+BKI+Ü+ÜI_tpa,read_tpa,duplicates,nCat,LearnTypeEntropy,CategoryEntropy,DidTest,f1,f2,f12,f1Amp,f2Amp,f12Amp,fMean,PredChance1,PredChance2,PredChance3,PredChance4,CondEntropy1,CondEntropy2,CondEntropy3,CondEntropy4,BeforeTestTime,AfterTestTime,TimePerCat,TRegr Fit,ÜRegr Fit,BKRegr Fit,CatTRegr Fit,CatÜRegr Fit,CatBKRegr Fit,DiffLowRegr Fit,DiffMedRegr Fit,DiffHighRegr Fit,KÜfRegr Fit,KÜtwrRegr Fit,KÜrRegr Fit,TResQuantRegr Fit,TSecSpentRegr Fit,ÜSecSpentRegr Fit,BKSecSpentRegr Fit,SecSpentRegr Fit,meanResponsTask,meanTestResQual,meanTestResQuant,meandifficulty,nResponsTask,nTestResQual,nTestResQuant,ndifficulty,backfrac,foolfrac1,foolfrac2,foolfrac12,TT,TB,UT,UU,UB,KK,KB,BU,BK,BB,TTT,TTB,TBB,UTT,UUU,KKK,KKB,KBK,KBB,BUU,BKK,BKB,BBU,BBK,BBB,Tests,Übungen,Kurzaufgaben,Beispiele,BK_Info,Ü_Info,Cat_0,Cat_1,Cat_2,Cat_3,Cat_4,Cat_5,Grund,Erweitert,K+B,K+Ü,K+Ü+T,K+B+Ü,K+BKI,B+BKI,Ü+ÜI,BKI+ÜI,K+B+BKI,K+B+BKI+ÜI,K+B+BKI+Ü+ÜI,ShortActs,LongActs,read,LearnPerc,InfoPerc,LearnActsPerc,InfoActsPerc,duplicatesPerc,ShortLearnActsPerc,ShortInfoActsPerc,LongLearnActsPerc,LongInfoActsPerc,ShortActsPerc,LongActsPerc
41,41,0,12,45,35,59,10,37,92,69,169,7763,1095,8895,3,53,14,0,80,57,57,92,104,94,22,69,139,149,161,94,,0.8527777777777777,1.9848148148148148,0.8523809523809525,0.2677966101694915,0.245,1.4063405797101451,0.2644927536231884,0.8772189349112426,1.489375,1.7464912280701754,1.7464912280701754,1.4063405797101451,1.0107371794871793,0.4854609929078014,0.5765151515151515,0.2644927536231884,0.970863309352518,0.9221476510067114,0.9169772256728778,0.4854609929078014,74,2,66.93047684878564,38.22322714955724,0,4,6,5.0,52.17391304347826,19.565217391304348,71.73913043478261,49.21111111111111,97.61904761904762,97.60479041916167,97.59036144578313,97.57575757575758,14.31438865501698,11.045974275096992,10.98258297124504,10.91693112132672,0.0,0.0,74.125,0.0,0.10675561968196866,-0.10675561968196791,0.0,0.05345591810366195,-0.05345591810366213,0.1330007116736484,-0.13300071167364863,0.0,-0.011508496718840206,0.10143055167272025,-0.08992205495388009,0.0,0.0,216.02106245289602,-14.898495096561456,-14.17333030887784,1.53125,-1.0,-1.0,0.75,32,0,0,12,0.08695652173913043,0.6630434782608695,0.09782608695652174,0.7608695652173912,0.0,0.0,0.0,0.13043478260869565,0.006211180124223602,0.14906832298136646,0.11801242236024845,0.0,0.13043478260869565,0.453416149068323,0.0,0.0,0.0,0.0,0.125,0.06875,0.06875,0.0625,0.05625,0.0,0.08125,0.05,0.0,0.06875,0.3875,0.0,6.902754356379989,60.24732996065205,20.123664980326026,10.657672849915684,1.6526138279932545,56.42495784148398,43.57504215851602,0.0,0.0,0.0,0.0,100.0,0.0,80.37099494097808,67.15008431703204,67.15008431703204,87.27374929735807,70.90500281056774,30.781337830241707,8.555368184373243,12.310286677908937,91.02866779089376,92.68128161888701,99.584035975267,0.629567172568859,0.15739179314221474,30.781337830241707,87.27374929735807,12.310286677908937,54.437869822485204,40.828402366863905,43.786982248520715,1.7751479289940828,31.360946745562128,8.284023668639055,0.0,0.3725249541827568,0.0931312385456892
42,42,10,49,3,2,10,55,74,64,65,141,7433,2279,9786,5,42,2,1,5,52,62,54,13,12,104,65,15,70,119,12,4.536666666666666,1.566326530612245,0.4166666666666667,0.25833333333333336,0.8733333333333333,0.5318181818181819,1.9356770833333334,0.5843589743589743,1.1567375886524822,0.35333333333333333,1.5,1.989784946236559,1.4540123456790124,0.767948717948718,0.7708333333333334,1.0192307692307692,0.5843589743589743,0.7,0.5678571428571428,0.9789915966386554,0.7708333333333334,80,3,52.63684319635844,53.68223823746604,1,21,20,20.5,32.8125,31.25,64.0625,20.233333333333334,91.42857142857143,93.5251798561151,94.20289855072464,96.35036496350365,25.01444841757427,22.975044142853342,18.58095088065077,16.73254189174623,5.05,41.85,54.36666666666667,0.17341998402532255,-0.2300961965353867,0.05667621251006518,0.037441422908533355,-0.13762837120908392,0.10018694830055137,-0.3347797671212604,0.1710576955207593,0.16372207160050084,-0.7795245628027947,0.03995293614340075,0.7395716266593941,17.786019565474554,-1273.3730788183418,-72.75233340476898,1.869266113862284,-14.608013988061403,1.7647058823529411,1.6666666666666667,74.0,0.6875,17,3,3,48,0.1724137931034483,0.1724137931034483,0.1206896551724138,0.2931034482758621,0.06201550387596899,0.0,0.023255813953488372,0.7751937984496124,0.007751937984496124,0.0,0.023255813953488372,0.007751937984496124,0.023255813953488372,0.06201550387596899,0.046875,0.0,0.0,0.015625,0.75,0.0,0.0,0.0078125,0.015625,0.0078125,0.0,0.0234375,0.0078125,0.0078125,0.046875,27.81524627018189,47.0570202329859,0.7664009809932557,0.316779072143879,5.354588187206213,17.933782955242183,28.816676885346414,56.57061107704885,14.61271203760474,0.0,0.0,0.0,100.0,0.0,1.0831800531371347,47.82342121397916,75.63866748416105,48.14020028612303,6.120989168199468,5.671367259350093,64.99080318822809,23.288371142448398,6.437768240343347,24.371551195585532,71.42857142857143,0.4802779480891069,0.030656039239730225,5.671367259350093,75.95544655630493,23.288371142448398,45.39007092198582,46.09929078014184,56.73758865248227,3.546099290780142,29.78723404255319,1.4184397163120568,0.7092198581560284,0.34062265821922477,0.02174187180122711
43,43,7,11,3,6,30,6,206,27,36,88,6583,3397,10186,1,14,8,2,9,14,21,20,33,36,17,36,39,45,56,36,5.538095238095238,4.271212121212121,5.644444444444445,1.172222222222222,1.78,0.5361111111111111,4.06358024691358,1.5726851851851853,1.9291666666666667,2.662962962962963,4.565476190476191,4.88968253968254,3.5475,2.131313131313131,1.6787037037037038,2.9529411764705884,1.5726851851851853,1.9837606837606836,1.7907407407407407,2.27797619047619,1.6787037037037038,42,6,88.98224449590992,87.23084897105336,1,3,9,6.0,33.33333333333333,33.33333333333333,66.66666666666666,16.633333333333333,79.3103448275862,82.55813953488372,85.88235294117646,91.66666666666666,59.187425492934544,42.91403391307028,31.446112983624698,23.96792808525154,24.566666666666666,8.783333333333333,28.294444444444444,0.18250358386966736,-0.20197822975133828,0.01947464588167074,0.1714897343371899,-0.03443047305741203,-0.1370592612797782,0.0,-0.503461336830751,0.5034613368307506,0.3426991215960421,0.0,-0.3426991215960419,7.438423536691798,116.48773747023158,-224.09796180834743,181.62539400539742,4.4048667517277815,1.1428571428571428,2.0,80.5,1.6363636363636365,7,2,2,11,0.21739130434782608,0.043478260869565216,0.0,0.043478260869565216,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.22580645161290322,0.016129032258064516,0.016129032258064516,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.4838709677419355,0.03278688524590164,0.03278688524590164,0.03278688524590164,0.01639344262295082,0.18032786885245902,0.0,0.01639344262295082,0.0,0.03278688524590164,0.03278688524590164,0.01639344262295082,0.01639344262295082,0.03278688524590164,0.03278688524590164,0.39344262295081966,22.83526408796387,27.67524052621245,9.974474769291183,4.142941291969369,31.454938150402512,1.8947575103082661,43.0689181229138,19.055566463773808,12.654623993716866,7.058708030630277,9.454152758688396,8.70803063027685,100.0,0.0,14.117416061260554,37.64971529550363,60.484979383467504,41.792656587473004,41.429412919693696,35.597879442371884,29.569998036520715,33.34969566071078,45.57235421166307,47.467111721971335,75.14235224818378,0.1472609463970155,0.09817396426467702,35.597879442371884,64.62792067543688,33.34969566071078,30.681818181818183,40.909090909090914,47.72727272727273,1.1363636363636365,15.909090909090908,9.090909090909092,2.272727272727273,0.1673419845420631,0.11156132302804207
44,44,0,0,22,24,65,0,212,46,65,126,3538,6894,10644,3,13,10,6,46,22,22,46,87,89,0,65,111,111,111,89,,,1.646969696969697,0.9472222222222223,1.7676923076923077,,1.2818840579710147,1.7676923076923077,1.407936507936508,1.2818840579710147,1.646969696969697,1.646969696969697,1.2818840579710147,1.7371647509578545,1.546441947565543,,1.7676923076923077,1.5663663663663665,1.5663663663663665,1.5663663663663665,1.546441947565543,61,5,53.84375005939096,78.74374133660677,0,3,4,3.5,39.130434782608695,34.78260869565217,73.91304347826087,173.86666666666667,92.80000000000001,95.16129032258065,95.1219512195122,95.08196721311475,46.9237100920257,40.42535304861363,39.34052082679245,37.74363533504846,0.0,0.0,35.480000000000004,0.0,0.0,1.802835284960455e-16,0.0,0.0,4.248270520921078e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.99215740206766,46.99215740206766,-1.0,-1.0,-1.0,-1.0,0,0,0,0,0.06521739130434782,0.43478260869565216,0.08695652173913043,0.5217391304347826,0.0,0.0,0.0,0.0,0.0,0.00909090909090909,0.19090909090909092,0.0,0.19090909090909092,0.6090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.009174311926605505,0.11009174311926606,0.08256880733944955,0.0,0.009174311926605505,0.1834862385321101,0.0,0.08256880733944955,0.5229357798165137,0.0,0.0,20.424652386320933,12.814731304021047,64.76888387824127,0.0,30.74032318677189,14.139421270199174,8.145434047350621,7.882375046974821,39.09244644870349,0.0,100.0,0.0,33.23938369034198,20.424652386320933,20.424652386320933,33.23938369034198,85.1935362645622,77.5836151822623,0.0,64.76888387824127,98.00826756858324,98.00826756858324,98.00826756858324,0.1503194287861706,0.1503194287861706,77.5836151822623,33.23938369034198,64.76888387824127,36.507936507936506,51.587301587301596,48.41269841269841,2.380952380952381,10.317460317460316,7.936507936507936,4.761904761904762,0.11930113395727826,0.11930113395727826
45,45,6,2,49,36,76,5,61,93,81,187,7492,2464,10017,13,40,16,1,85,51,57,87,125,112,7,81,161,166,168,112,4.852777777777778,0.15833333333333333,1.6329931972789116,0.4282407407407407,0.5265350877192982,0.21,1.342652329749104,0.5069958847736625,0.8927807486631016,1.1227450980392155,1.5751633986928106,1.9201754385964913,1.100574712643678,0.9602666666666667,0.4949404761904762,0.19523809523809524,0.5069958847736625,0.841304347826087,0.8222891566265059,0.8143849206349206,0.4949404761904762,90,3,78.31127016458154,54.842254315185556,1,4,13,8.5,64.51612903225806,13.978494623655912,78.49462365591398,16.593333333333334,93.54838709677419,94.05405405405406,95.1086956521739,96.72131147540983,21.477966252757653,17.701838185032553,14.930638587064916,13.105994049676193,55.36666666666667,0.08333333333333333,55.65,0.1471976445431161,-0.015076361412087996,-0.13212128313102758,0.09167375892512396,-0.012105804934157596,-0.07956795399096517,0.0,0.0,0.0,0.12461269297356825,-0.9157615744085039,0.7911488814349354,3.7633628468890485,-415.85052564151806,-2112.2863730360577,-6.7249311972712835,6.05851720692786,1.3125,1.0,61.0,0.0,16,2,2,2,0.011363636363636364,0.6363636363636364,0.11363636363636363,0.75,0.023121387283236993,0.011560693641618497,0.005780346820809248,0.023121387283236993,0.011560693641618497,0.10404624277456648,0.15606936416184972,0.005780346820809248,0.1791907514450867,0.4624277456647399,0.011627906976744186,0.011627906976744186,0.011627906976744186,0.005813953488372093,0.011627906976744186,0.05232558139534884,0.040697674418604654,0.09883720930232558,0.05813953488372093,0.0,0.05232558139534884,0.11627906976744186,0.005813953488372093,0.08139534883720931,0.37790697674418605,17.440351402615555,0.18967754816811422,47.92852151342718,9.234301687131875,23.969252271139062,0.628930817610063,54.86672656483977,29.000698812019564,16.132574623140663,0.0,0.0,0.0,100.0,0.0,57.16282320055905,48.11819906159529,65.55855046421084,57.35250074872717,71.89777378456623,33.20355395827094,0.8186083657781771,24.598183088749124,81.13207547169812,81.76100628930818,81.95068383747629,0.5291005291005291,0.16971149046620745,33.20355395827094,74.79285215134271,24.598183088749124,49.73262032085562,43.31550802139038,48.1283422459893,6.951871657754011,21.390374331550802,8.55614973262032,0.53475935828877,0.2829414594120476,0.09075480773593982
46,46,0,2,18,23,50,3,115,43,53,102,1736,3158,5009,10,12,3,1,41,20,20,43,68,73,5,53,91,94,96,73,,0.225,0.8962962962962963,0.5369565217391304,1.025,0.46111111111111114,0.6728682170542636,0.9930817610062893,0.8184640522875817,0.6947154471544715,0.8291666666666667,0.8291666666666667,0.6728682170542636,0.9909313725490195,0.8712328767123287,0.36666666666666664,0.9930817610062893,0.8761904761904762,0.8629432624113476,0.8496527777777777,0.8712328767123287,44,2,61.11730595781142,38.56772058757411,0,3,2,2.5,48.837209302325576,27.906976744186046,76.74418604651163,27.188888888888886,96.03960396039604,96.0,95.95959595959596,95.91836734693877,19.088585687735474,15.539415002934343,15.141673996977959,14.576764595194943,0.0,0.0,41.74166666666667,0.0,0.06466428405769296,-0.06466428405769294,0.0,0.02131878629163708,-0.021318786291636194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2929.2420709436446,75.74227040375841,70.29849838091387,1.5,-1.0,-1.0,0.0,2,0,0,2,0.023255813953488372,0.4883720930232558,0.2558139534883721,0.7441860465116279,0.0,0.0,0.0,0.042105263157894736,0.010526315789473684,0.010526315789473684,0.17894736842105263,0.010526315789473684,0.17894736842105263,0.5684210526315789,0.0,0.0,0.0,0.0,0.031914893617021274,0.0,0.010638297872340425,0.09574468085106383,0.07446808510638298,0.010638297872340425,0.010638297872340425,0.1702127659574468,0.0,0.0851063829787234,0.4787234042553192,0.0,0.5390297464563786,19.325214613695348,14.793371930525053,61.389498901976445,1.6570173687362748,46.75583948891994,53.244160511080054,0.0,0.0,0.0,0.0,73.6274705530046,26.372529446995408,34.118586544220406,19.86424436015173,19.86424436015173,34.65761629067678,80.71471351567179,76.1828708325015,2.1960471151926533,63.046516270712715,95.50808544619684,97.16510281493312,97.7041325613895,0.4392094230385306,0.07985625873427829,76.1828708325015,34.65761629067678,63.046516270712715,42.15686274509804,51.9607843137255,43.13725490196079,9.803921568627452,11.76470588235294,2.941176470588235,0.9803921568627451,0.43059747356718686,0.07829044973948852
