,User,Topic,Category,Label,SecSpent,TotSec,LearnType,Level,UserCumSec,difficulty
87,0,5,1,ks2a2b1_1a,25,47073152,5,0,167049,-1
88,0,5,1,ks2a2b4_1a,5,47073177,5,0,167054,-1
89,0,5,1,ks2a2,29,47073182,4,0,167083,-1
90,0,5,1,ks2a2b1_1a,8,47073211,5,0,167091,-1
91,0,5,1,ks2a2,81,47073219,4,0,167172,-1
92,0,5,1,ks2a2k1_1a,19,47073300,3,0,2137,-1
93,0,5,1,ks2a2,54,47073319,4,0,167226,-1
94,0,5,1,ks2a2,15,47073373,4,0,167241,-1
95,0,5,1,ks2a2k1_1a,25,47073388,3,0,2162,-1
96,0,5,1,ks2a2k3_1a,134,47073413,3,0,2296,-1
97,0,-1,1,ks2a,7,47073547,6,0,167248,-1
98,0,-1,1,ks2c,5,47073554,1,0,2301,-1
99,0,-1,1,Übersicht,2,47073559,6,0,167250,-1
100,0,6,1,ks2a3,4,47073561,4,0,167254,-1
101,0,5,1,ks2a2,13,47073565,4,0,167267,-1
102,0,6,1,ks2a3b1_1a,10,47073578,5,0,167277,-1
103,0,6,1,ks2a3,22,47073588,4,0,167299,-1
104,0,6,1,ks2a3b4_1a,12,47073610,5,0,167311,-1
105,0,6,1,ks2a3,31,47073622,4,0,167342,-1
106,0,6,1,ks2a3k4_1a,3,47073653,3,0,2304,-1
107,0,6,1,ks2a3,48,47073656,4,0,167390,-1
108,0,6,1,ks2a3k2_1a,52,47073704,3,0,2356,-1
109,0,6,1,ks2a3,5,47073756,4,0,167395,-1
110,0,-1,1,ks2c,4,47073761,1,0,2360,-1
111,0,5,1,ks2a2,5,47073765,4,0,167400,-1
112,0,7,1,ks2a4,4,47073770,4,0,167404,-1
113,0,-1,1,Übersicht,3,47073774,6,0,167407,-1
114,0,-1,1,ks2a,24,47073777,6,0,167431,-1
115,0,7,1,ks2a4k4_1a,28,47073801,3,0,2388,-1
116,0,7,1,ks2a4,4,47073829,4,0,167435,-1
117,0,7,1,ks2a4k4_1a,53,47073833,3,0,2441,-1
118,0,7,1,ks2a4,9,47073886,4,0,167444,-1
119,0,8,1,ks2a5,59,47073895,4,0,167503,-1
120,0,8,1,ks2a5b1_1a,17,47073954,5,0,167520,-1
121,0,8,1,ks2a5,77,47073971,4,0,167597,-1
122,0,8,1,ks2a5b4_1a,54,47074048,5,0,167651,-1
123,0,8,1,ks2a5k2_1a,9,47074102,3,0,2450,-1
124,0,8,1,ks2a5,74,47074111,4,0,167725,-1
125,0,8,1,ks2a5,3,47074185,4,0,167728,-1
126,0,-1,1,ks2ev2,8,47074188,0,0,2458,-1
127,0,-1,1,ks2e,5,47074196,6,0,167733,-1
128,0,-1,1,ks2a,603,47074201,6,0,168336,-1
129,0,13,2,bs3a1,12,47074804,4,0,168348,-1
130,0,-1,2,ks3a,5,47074816,6,0,168353,-1
131,0,-1,2,Übersicht,3,47074821,6,0,168356,-1
132,0,-1,2,ks3b,6,47074824,6,1,168362,-1
133,0,-1,2,Übersicht,4,47074830,6,1,168366,-1
134,0,-1,2,Tour,285,47074834,6,1,168651,-1
135,0,13,2,ks3a1k4_1a,3,47075119,3,0,2461,-1
136,0,13,2,bs3a1,11,47075122,4,0,168662,-1
137,0,13,2,ks3a1b1_1a,41,47075133,5,0,168703,-1
138,0,13,2,bs3a1,4,47075174,4,0,168707,-1
139,0,15,2,ks3a7,440,47075178,4,0,169147,-1
140,0,15,2,ks3a2b1_1a,25,47075618,5,0,169172,-1
141,0,15,2,ks3a2b4_1a,10,47075643,5,0,169182,-1
142,0,17,2,ks3a3,65,47075653,4,0,169247,-1
143,0,17,2,ks3a3,22,47075718,4,0,169269,-1
144,0,15,2,ks3a2k2_1a,77,47075740,3,0,2538,-1
145,0,15,2,ks3a7,23,47075817,4,0,169292,-1
146,0,13,2,bs3a1,26,47075840,4,0,169318,-1
147,0,15,2,ks3a2k2_1a,32,47075866,3,0,2570,-1
148,0,15,2,ks3a7,25,47075898,4,0,169343,-1
149,0,13,2,bs3a1,29,47075923,4,0,169372,-1
150,0,17,2,ks3a3,22,47075952,4,0,169394,-1
151,0,15,2,ks3a2k2_1a,1,47075974,3,0,2571,-1
152,0,15,2,ks3a2k4_1a,16,47075975,3,0,2587,-1
153,0,14,2,ks3a3a,30,47075991,3,0,2617,-1
154,0,17,2,ks3a3,240,47076021,4,0,169634,-1
155,0,18,2,ks3a4,102,47076261,4,0,169736,-1
156,0,18,2,ks3a4b4_1a,378,47076363,5,0,170114,-1
157,0,18,2,ks3a4k4_1a,7,47076741,3,0,2624,-1
158,0,18,2,ks3a4,146,47076748,4,0,170260,-1
159,0,18,2,ks3a4,6,47076894,4,0,170266,-1
160,0,18,2,ks3a4k4_1a,16,47076900,3,0,2640,-1
161,0,18,2,ks3a4k4_1a,4,47076916,3,0,2644,-1
162,0,18,2,ks3a4,4,47076920,4,0,170270,-1
163,0,-1,2,Übersicht,7,47076924,6,0,170277,-1
164,0,-1,2,ks3d,5,47076931,1,1,2649,-1
165,0,-1,2,Übersicht,4,47076936,6,1,170281,-1
166,0,-1,2,ks3a,8,47076940,6,0,170289,-1
167,0,19,2,ks3b2,3,47076948,4,1,170292,-1
168,0,-1,2,ks3b,421,47076951,6,1,170713,-1
169,0,19,2,ks3b2b4_1a,13,47077372,5,1,170726,-1
170,0,19,2,ks3b2,7,47077385,4,1,170733,-1
