,User,Topic,TestsActs,ÜbungenActs,KurzaufgabenActs,BeispieleActs,BK_InfoActs,Ü_InfoActs,Übersicht,LearnActs,InfoActs,TotActs,Learn,Info,Tot,ShortLearnActs,ShortInfoActs,LongLearnActs,LongInfoActs,K+BActs,K+ÜActs,K+Ü+TActs,K+B+ÜActs,K+BKIActs,B+BKIActs,Ü+ÜIActs,BKI+ÜIActs,K+B+BKIActs,K+B+BKI+ÜIActs,K+B+BKI+Ü+ÜIActs,readActs,Tests_tpa,Übungen_tpa,Kurzaufgaben_tpa,Beispiele_tpa,BK_Info_tpa,Ü_Info_tpa,Learn_tpa,Info_tpa,Tot_tpa,K+B_tpa,K+Ü_tpa,K+Ü+T_tpa,K+B+Ü_tpa,K+BKI_tpa,B+BKI_tpa,Ü+ÜI_tpa,BKI+ÜI_tpa,K+B+BKI_tpa,K+B+BKI+ÜI_tpa,K+B+BKI+Ü+ÜI_tpa,read_tpa,duplicates,nCat,LearnTypeEntropy,CategoryEntropy,DidTest,f1,f2,f12,f1Amp,f2Amp,f12Amp,fMean,PredChance1,PredChance2,PredChance3,PredChance4,CondEntropy1,CondEntropy2,CondEntropy3,CondEntropy4,BeforeTestTime,AfterTestTime,TimePerCat,TRegr Fit,ÜRegr Fit,BKRegr Fit,CatTRegr Fit,CatÜRegr Fit,CatBKRegr Fit,DiffLowRegr Fit,DiffMedRegr Fit,DiffHighRegr Fit,TSecSpentRegr Fit,ÜSecSpentRegr Fit,BKSecSpentRegr Fit,SecSpentRegr Fit,meandifficulty,ndifficulty,backfrac,foolfrac1,foolfrac2,foolfrac12,backfrac_cat,foolfrac_cat,jumpfrac_cat,backfrac_topic,foolfrac_topic,jumpfrac_topic,TT,TB,UT,UU,UB,KK,KB,BU,BK,BB,TTT,TTB,TBB,UUU,KKK,KKB,KBK,KBB,BKK,BKB,BBK,BBB,Tests,Übungen,Kurzaufgaben,Beispiele,BK_Info,Ü_Info,Cat_0,Cat_1,Cat_2,Cat_3,Cat_4,Cat_5,Grund,Erweitert,K+B,K+Ü,K+Ü+T,K+B+Ü,K+BKI,B+BKI,Ü+ÜI,BKI+ÜI,K+B+BKI,K+B+BKI+ÜI,K+B+BKI+Ü+ÜI,ShortActs,LongActs,read,LearnPerc,InfoPerc,LearnActsPerc,InfoActsPerc,duplicatesPerc,ShortLearnActsPerc,ShortInfoActsPerc,LongLearnActsPerc,LongInfoActsPerc,ShortActsPerc,LongActsPerc
0,0,1096,3,2,31,31,76,6,1814,67,82,167,4408,4255,10477,20,37,3,3,62,33,36,64,107,107,8,82,138,144,146,107,411.6666666666667,27.0,40.645161290322584,59.96774193548387,54.25,22.0,65.7910447761194,51.890243902439025,62.73652694610779,50.306451612903224,39.81818181818182,70.80555555555556,49.578125,50.308411214953274,55.90654205607477,23.25,51.890243902439025,52.47826086956522,51.208333333333336,50.87671232876713,55.90654205607477,88,3,82.27836335999632,60.661345340397546,1,3,2,2.5,35.82089552238806,26.865671641791046,62.6865671641791,11.106410256410255,88.55421686746988,92.12121212121212,92.07317073170732,93.25153374233128,34.784610909981104,28.218968468024368,25.50052804613914,21.7699139996966,45.5,5.066666666666666,58.205555555555556,0.13751361217160407,-0.0382996553577498,-0.09921395681385459,0.06383848436839945,0.022446346079483644,-0.08628483044788346,0.0,0.0,0.0,-3998.4591188567238,-561.9659242597826,-7.351462963400393,-9.625425993978306,1.0,2,0.13636363636363635,0.10606060606060606,0.21212121212121213,0.3181818181818182,0,2,0,10,15,7,0.006666666666666667,0.013333333333333334,0.0,0.02666666666666667,0.02666666666666667,0.04,0.15333333333333332,0.013333333333333334,0.17333333333333334,0.52,0.0,0.006711409395973154,0.006711409395973154,0.020134228187919462,0.006711409395973154,0.026845637583892617,0.040268456375838924,0.09395973154362416,0.03355704697986577,0.12751677852348994,0.12751677852348994,0.38926174496644295,11.787725493939105,0.5154147179536127,12.026343418917628,17.743628901403074,39.35286818745824,1.2599026438866088,40.62231554834399,29.082752696382553,30.294931755273456,0.0,0.0,0.0,87.17190035315453,12.82809964684547,29.769972320320704,12.541758136871243,24.329483630810348,30.285387038274315,51.379211606375875,57.09649708886132,1.7753173618402216,40.612770831344854,69.12284050777895,70.38274315166555,70.89815786961915,0.5440488689510357,0.05726830199484585,57.09649708886132,42.07311253221342,40.612770831344854,40.119760479041915,49.101796407185624,52.69461077844312,11.976047904191617,22.15568862275449,1.7964071856287425,1.7964071856287425,0.32577776583894347,0.03429239640409931
1,1,788,2,0,16,24,61,1,2959,42,62,118,3127,5015,11101,9,25,3,5,40,16,18,40,77,85,1,62,101,102,102,85,303.0,,81.125,50.958333333333336,81.8360655737705,23.0,74.45238095238095,80.88709677419355,94.07627118644068,63.025,81.125,105.77777777777777,63.025,81.68831168831169,73.11764705882354,23.0,80.88709677419355,74.38613861386139,73.88235294117646,73.88235294117646,73.11764705882354,48,5,67.56150673801855,80.15692060173576,1,5,3,4.0,23.809523809523807,21.428571428571427,45.238095238095234,33.925,94.01709401709401,95.6896551724138,95.65217391304348,96.49122807017544,24.174964699049806,16.184103135574002,15.756472141874994,14.433900927940716,37.13333333333333,22.466666666666665,37.00333333333333,0.07834442001804613,0.002755348409506437,-0.08109976842755272,0.05528916005148581,0.003853291860225887,-0.05914245191171233,0.0,0.0,0.0,5499.730557116159,0.0,97.97138270020804,84.7487837498352,-1.0,0,0.023809523809523808,0.2857142857142857,0.16666666666666666,0.45238095238095233,2,4,1,5,20,7,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.0,0.0,0.019230769230769232,0.1346153846153846,0.009615384615384616,0.1346153846153846,0.6730769230769231,0.0,0.009708737864077669,0.009708737864077669,0.0,0.009708737864077669,0.009708737864077669,0.038834951456310676,0.08737864077669903,0.009708737864077669,0.1262135922330097,0.0970873786407767,0.5728155339805825,5.45896766057112,0.0,11.692640302675434,11.01702549319881,44.96892171876408,0.2071885415728313,37.67228177641654,16.85433744707684,28.970363030357625,6.882262859201874,9.620754886947122,0.0,77.47049815331953,22.529501846680482,22.709665795874244,11.692640302675434,17.151607963246555,22.709665795874244,56.661562021439515,55.98594721196288,0.2071885415728313,45.176110260336905,67.67858751463832,67.88577605621116,67.88577605621116,0.3062787136294028,0.07206557967750653,55.98594721196288,28.168633456445363,45.176110260336905,35.59322033898305,52.54237288135594,40.67796610169492,7.627118644067797,21.1864406779661,2.5423728813559325,4.23728813559322,0.25955823188932436,0.06107252515042927
2,2,1283,0,0,0,14,51,1,1607,14,52,90,2309,6678,10594,3,19,1,7,14,0,0,14,51,65,1,52,65,66,66,65,,,,164.92857142857142,130.80392156862746,7.0,164.92857142857142,128.42307692307693,117.71111111111111,164.92857142857142,,,164.92857142857142,130.80392156862746,138.15384615384616,7.0,128.42307692307693,138.15384615384616,136.16666666666666,136.16666666666666,138.15384615384616,39,6,35.785163492858715,65.01597739627437,0,14,14,14.0,100.0,100.0,200.0,49.92777777777778,82.02247191011236,88.63636363636364,90.80459770114942,93.02325581395348,54.63283176273413,52.258093057609635,49.479726530405436,42.71290981329483,0.0,0.0,29.42777777777778,0.0,0.0003434007964993928,-0.00034340079649930824,0.0,0.0012211927953430482,-0.0012211927953429695,0.0,0.0,0.0,0.0,0.0,-4.828275118319581,-9.7882029186001,-1.0,0,0.21428571428571427,0.2857142857142857,0.14285714285714285,0.42857142857142855,7,6,2,9,15,12,0.0,0.0,0.0,0.0,0.015151515151515152,0.0,0.0,0.015151515151515152,0.0,0.9696969696969697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9538461538461539,0.0,0.0,0.0,21.79535586180857,62.96960543703983,0.06607513686992637,6.843496318670946,5.040589012648669,11.317727015291675,1.8029073060222767,64.9141023220691,10.081178025297339,69.6715121767038,30.328487823296207,21.79535586180857,0.0,0.0,21.79535586180857,62.96960543703983,84.7649612988484,0.06607513686992637,63.03568057390976,84.7649612988484,84.83103643571833,84.83103643571833,0.20766471587691146,0.07551444213705871,84.7649612988484,21.79535586180857,63.03568057390976,15.555555555555555,57.77777777777777,43.333333333333336,3.3333333333333335,21.11111111111111,1.1111111111111112,7.777777777777778,0.2307385731965683,0.083904935707843
3,3,516,2,0,12,30,49,0,187,44,49,106,2332,2769,5288,12,13,1,0,42,12,14,42,61,79,0,49,91,91,91,79,220.5,,43.75,45.53333333333333,56.51020408163265,,53.0,56.51020408163265,49.886792452830186,45.023809523809526,43.75,69.0,45.023809523809526,54.0,52.34177215189873,,56.51020408163265,51.20879120879121,51.20879120879121,51.20879120879121,52.34177215189873,46,3,70.2198501634404,60.53209781013935,1,20,4,12.0,45.45454545454545,27.27272727272727,72.72727272727272,28.33888888888889,93.33333333333333,96.15384615384616,96.11650485436894,96.07843137254902,30.466129100740652,21.925728525457384,17.28609269175253,15.434257980512506,23.666666666666668,5.016666666666667,29.37777777777778,0.0290664865446477,0.0,-0.029066486544647954,0.03581829176230586,0.0,-0.03581829176230575,0.0,0.0,0.0,-2817.794269031014,0.0,77.83369801329569,107.97198808389024,-1.0,0,0.023809523809523808,0.40476190476190477,0.07142857142857142,0.47619047619047616,0,2,0,6,10,8,0.010869565217391304,0.010869565217391304,0.0,0.0,0.0,0.05434782608695652,0.07608695652173914,0.0,0.07608695652173914,0.7608695652173914,0.0,0.01098901098901099,0.0,0.0,0.04395604395604396,0.01098901098901099,0.03296703296703297,0.04395604395604396,0.01098901098901099,0.06593406593406594,0.04395604395604396,0.7142857142857143,8.33963691376702,0.0,9.928139183055976,25.8320726172466,52.36384266263238,0.0,31.732223903177005,27.382753403933435,40.885022692889564,0.0,0.0,0.0,85.87367624810892,14.126323751891073,35.76021180030257,9.928139183055976,18.267776096822995,35.76021180030257,62.29198184568835,78.19591527987897,0.0,52.36384266263238,88.12405446293494,88.12405446293494,88.12405446293494,0.47276853252647505,0.018910741301059002,78.19591527987897,44.09984871406959,52.36384266263238,41.509433962264154,46.22641509433962,43.39622641509434,11.320754716981133,12.264150943396226,0.9433962264150944,0.0,0.44600804955327833,0.017840321982131136
4,4,1796,11,0,70,18,57,0,5160,99,57,172,8841,5138,19139,15,16,16,4,88,70,81,88,127,75,0,57,145,145,145,75,28.636363636363637,,106.57142857142857,59.22222222222222,90.14035087719299,,89.3030303030303,90.14035087719299,111.27325581395348,96.88636363636364,106.57142857142857,95.98765432098766,96.88636363636364,99.19685039370079,82.72,,90.14035087719299,94.23448275862069,94.23448275862069,94.23448275862069,82.72,64,6,61.18536360772319,87.44600715267869,1,3,5,4.0,15.151515151515152,15.151515151515152,30.303030303030305,21.18030303030303,90.64327485380117,93.52941176470588,94.0828402366864,94.64285714285714,34.295818248313296,24.153084448373406,20.048665076910872,18.42891585038843,43.57666666666667,16.443333333333335,53.16388888888889,0.006409779858705609,0.0,-0.00640977985870531,0.002952461416811942,0.0,-0.002952461416811799,0.0,0.0,0.0,483.75831335521167,0.0,49.33426991845232,34.414203132883046,-1.0,0,0.06451612903225806,0.3870967741935484,0.0967741935483871,0.4838709677419355,2,2,2,4,13,6,0.0379746835443038,0.03164556962025317,0.0,0.0,0.0,0.20253164556962025,0.21518987341772153,0.0,0.24050632911392406,0.24050632911392406,0.01910828025477707,0.01910828025477707,0.006369426751592357,0.0,0.10828025477707007,0.08280254777070063,0.1592356687898089,0.050955414012738856,0.09554140127388536,0.1337579617834395,0.06369426751592357,0.17834394904458598,1.6458540153613044,0.0,38.97800303046136,5.569778985317937,26.84570771722661,0.0,22.58738701081561,4.273995506557291,10.946235435498197,6.672239928940906,37.948691154187784,17.57145096400021,98.2757719839072,1.7242280160927947,44.5477820157793,38.97800303046136,40.62385704582267,44.5477820157793,65.82371074768797,32.41548670254454,0.0,26.84570771722661,71.3934897330059,71.3934897330059,71.3934897330059,0.1619729348450807,0.10449866764198755,32.41548670254454,46.1936360311406,26.84570771722661,57.55813953488372,33.13953488372093,37.2093023255814,8.720930232558139,9.30232558139535,9.30232558139535,2.3255813953488373,0.09417031095644228,0.060755039326736954
5,5,1029,7,40,12,16,24,24,1049,75,48,136,8422,6027,15498,16,24,9,3,28,52,59,68,36,40,64,48,52,76,116,40,182.28571428571428,121.05,131.83333333333334,45.125,90.91666666666667,160.20833333333334,112.29333333333334,125.5625,113.95588235294117,82.28571428571429,123.53846153846153,130.5084745762712,105.08823529411765,104.55555555555556,72.6,135.734375,125.5625,86.26923076923077,109.61842105263158,113.5603448275862,72.6,57,5,74.41101440992443,84.88121523547767,1,15,3,9.0,20.0,16.0,36.0,15.051041666666666,84.44444444444444,88.80597014925374,90.22556390977444,93.18181818181817,42.78057287596385,33.00437143402003,23.84641657444353,16.326460070183245,38.21666666666667,16.933333333333334,51.66,0.02074966995731877,0.20016869999387493,-0.22091836995119385,0.05436782775488073,0.3602841354517632,-0.4146519632066437,-0.09272733259427421,-0.03183613966211292,0.12456347225638725,-4954.070584691239,114.57616437013097,111.9418664665593,23.470740406261076,0.972972972972973,37,0.2,0.17142857142857143,0.07142857142857142,0.24285714285714285,1,5,0,4,5,7,0.024,0.016,0.024,0.48,0.024,0.04,0.024,0.016,0.048,0.248,0.008064516129032258,0.016129032258064516,0.016129032258064516,0.4435483870967742,0.024193548387096774,0.0,0.0,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.04838709677419355,0.20161290322580644,8.23332042844238,31.24274099883856,10.20776874435411,4.6586656342753905,14.079236030455542,24.809652858433346,27.480965285843332,24.45476835720738,16.89250225835592,24.809652858433346,6.36211124016002,0.0,100.0,0.0,14.866434378629501,41.45050974319267,49.68383017163505,46.10917537746806,24.287004774809652,18.737901664730934,56.05239385727191,38.88888888888889,28.945670409085047,53.755323267518385,84.99806426635695,0.2580978190734288,0.07742934572202864,18.737901664730934,54.34249580591044,38.88888888888889,55.14705882352941,35.294117647058826,41.911764705882355,11.76470588235294,17.647058823529413,6.61764705882353,2.2058823529411766,0.18977780814222708,0.056933342442668115
6,6,381,2,6,25,22,39,3,229,55,42,106,3213,1708,5150,19,14,2,0,47,31,33,53,64,61,9,42,86,89,95,61,490.5,52.5,42.32,39.04545454545455,41.256410256410255,33.0,58.41818181818182,40.666666666666664,48.58490566037736,40.787234042553195,44.29032258064516,71.33333333333333,42.113207547169814,41.671875,40.459016393442624,46.0,40.666666666666664,41.0,40.73033707865169,41.473684210526315,40.459016393442624,41,3,95.09084435599796,47.971657821524914,1,2,4,3.0,40.0,14.545454545454545,54.54545454545455,10.252083333333333,93.33333333333333,97.11538461538461,97.0873786407767,97.05882352941177,22.162009893923273,13.729295974493283,10.00026390251547,8.83335421696808,32.15833333333333,0.075,28.61111111111111,0.2863342999003277,0.17779051732724918,-0.4641248172275776,0.10153922481186375,0.11741680260444207,-0.21895602741630688,0.0,0.0,0.0,-388.20492316972275,332.11354541837346,-26.208414776144405,10.030079027864435,1.0,6,0.12727272727272726,0.23636363636363636,0.07272727272727272,0.3090909090909091,0,2,0,5,10,3,0.0,0.010416666666666666,0.020833333333333332,0.0625,0.010416666666666666,0.10416666666666667,0.15625,0.020833333333333332,0.15625,0.4479166666666667,0.0,0.0,0.010526315789473684,0.05263157894736842,0.042105263157894736,0.06315789473684211,0.05263157894736842,0.08421052631578947,0.06315789473684211,0.09473684210526316,0.10526315789473684,0.3368421052631579,19.04854368932039,6.116504854368932,20.54368932038835,16.679611650485437,31.24271844660194,1.9223300970873787,55.66990291262136,38.48543689320388,5.844660194174757,0.0,0.0,0.0,100.0,0.0,37.22330097087379,26.66019417475728,45.70873786407767,43.33980582524271,51.786407766990294,47.92233009708738,8.03883495145631,33.165048543689316,68.46601941747574,70.3883495145631,76.50485436893204,0.6407766990291262,0.03883495145631068,47.92233009708738,62.3883495145631,33.165048543689316,51.886792452830186,39.62264150943396,38.67924528301887,17.92452830188679,13.20754716981132,1.8867924528301887,0.0,0.6045063198387983,0.036636746656896875
7,7,873,0,27,50,29,55,5,119,106,60,175,9639,6838,16596,25,18,15,5,79,77,77,106,105,84,32,60,134,139,166,84,,115.4074074074074,97.42,56.96551724137931,116.92727272727272,81.4,90.93396226415095,113.96666666666667,94.83428571428571,82.56962025316456,103.72727272727273,103.72727272727273,90.93396226415095,107.63809523809523,96.22619047619048,110.09375,113.96666666666667,96.67164179104478,96.12230215827338,99.25903614457832,96.22619047619048,95,3,80.02262143430525,47.12118248457343,0,4,9,6.5,18.867924528301888,16.9811320754717,35.84905660377359,30.512962962962963,93.10344827586206,94.79768786127167,95.34883720930233,95.32163742690058,28.592153850932434,22.298742644939935,17.983514133229132,17.759783547859833,0.0,0.0,92.2,0.0,0.021060833609652593,-0.021060833609652257,0.0,0.1339122775403572,-0.13391227754035723,-0.3117419225084027,0.311741922508403,0.0,0.0,74.79743503119852,6.868949897845352,1.3721034871981586,0.3684210526315789,19,0.09433962264150944,0.44339622641509435,0.03773584905660377,0.4811320754716981,1,3,0,11,5,9,0.0,0.0058823529411764705,0.0058823529411764705,0.16470588235294117,0.011764705882352941,0.16470588235294117,0.11176470588235295,0.0058823529411764705,0.12352941176470589,0.38235294117647056,0.0,0.0,0.005917159763313609,0.15384615384615385,0.09467455621301775,0.05917159763313609,0.07692307692307693,0.03550295857988166,0.07100591715976332,0.05325443786982249,0.047337278106508875,0.3254437869822485,0.0,18.775608580380815,29.350445890576044,9.954205832730779,38.75030127741624,2.452398168233309,68.23330923114004,14.63003133285129,17.136659436008678,0.0,0.0,0.0,85.43022415039768,14.569775849602316,39.30465172330682,48.12605447095686,48.12605447095686,58.08026030368764,68.1007471679923,48.70450711014702,21.228006748614124,41.20269944564956,78.05495300072307,80.50735116895638,99.28295974933718,0.2590985779705953,0.1205109664979513,48.70450711014702,58.08026030368764,41.20269944564956,60.57142857142858,34.285714285714285,54.285714285714285,14.285714285714285,10.285714285714285,8.571428571428571,2.857142857142857,0.14805633026891163,0.06886340942740074
8,8,1114,1,3,27,44,76,5,1006,75,81,169,6727,6191,13924,13,20,8,3,71,30,31,74,103,120,8,81,147,152,155,120,39.0,26.666666666666668,150.25925925925927,57.97727272727273,75.47368421052632,91.0,89.69333333333333,76.4320987654321,82.3905325443787,93.07042253521126,137.9,134.70967741935485,90.37837837837837,95.07766990291262,69.05833333333334,66.875,76.4320987654321,83.97278911564626,84.20394736842105,83.09032258064516,69.05833333333334,78,4,74.18421988910784,70.55770951838653,1,9,5,7.0,24.0,20.0,44.0,53.825,92.26190476190477,94.61077844311377,95.18072289156626,95.75757575757575,23.694040517535313,19.410814496288747,18.201544340770887,16.459709896892136,5.116666666666666,46.666666666666664,58.016666666666666,0.002139074104818336,0.026642576047360696,-0.02878165015217885,-0.002645470685862243,-0.3557295304281412,0.35837500111400333,0.0,0.0,0.0,0.0,126.65746076503677,-46.018150431895315,-40.59147541817181,1.3333333333333333,3,0.08108108108108109,0.4594594594594595,0.06756756756756757,0.5270270270270271,3,5,1,10,13,6,0.012738853503184714,0.006369426751592357,0.006369426751592357,0.044585987261146494,0.0,0.07006369426751592,0.08917197452229299,0.0,0.10191082802547771,0.6624203821656051,0.00641025641025641,0.00641025641025641,0.00641025641025641,0.038461538461538464,0.03205128205128205,0.038461538461538464,0.04487179487179487,0.04487179487179487,0.038461538461538464,0.05128205128205128,0.057692307692307696,0.6089743589743589,0.2800919276070095,0.5745475438092502,29.136742315426602,18.320884803217467,41.195058891123246,3.2677391554151107,38.88968687158862,30.76702097098535,22.594082160298765,7.749209997127263,0.0,0.0,79.42401608733122,20.575983912668775,47.45762711864407,29.71128985923585,29.991381786842865,48.03217466245332,70.33180120654984,59.51594369434071,3.8422866992243607,44.462798046538346,88.65268600976731,91.92042516518242,92.49497270899167,0.23700086182131572,0.07900028727377191,59.51594369434071,48.312266590060325,44.462798046538346,44.37869822485207,47.928994082840234,46.15384615384615,7.6923076923076925,11.834319526627219,4.733727810650888,1.7751479289940828,0.1402371963439738,0.046745732114657934
9,9,283,3,0,35,25,51,1,184,63,52,124,4682,2246,7112,23,19,6,1,60,35,38,60,86,76,1,52,111,112,112,76,474.0,,72.62857142857143,28.72,43.88235294117647,8.0,74.31746031746032,43.19230769230769,57.354838709677416,54.333333333333336,72.62857142857143,104.3157894736842,54.333333333333336,55.58139534883721,38.89473684210526,8.0,43.19230769230769,49.531531531531535,49.160714285714285,49.160714285714285,38.89473684210526,62,2,80.81511463645339,29.480220669861552,1,4,5,4.5,38.095238095238095,15.873015873015872,53.96825396825397,19.244444444444447,93.4959349593496,96.72131147540983,97.52066115702479,97.5,22.430816039653607,15.875472810195543,12.19265928816164,10.526323359617082,67.63333333333334,1.0,59.266666666666666,0.02829399876128956,0.0006103211519816865,-0.028904319913270745,0.058813932723532025,0.0014846790179814807,-0.0602986117415133,0.0,0.0,0.0,2966.2951693343657,0.0,-41.44518994739093,51.650051397418665,-1.0,0,0.09523809523809523,0.5873015873015873,0.12698412698412698,0.7142857142857143,1,1,0,5,10,1,0.008695652173913044,0.008695652173913044,0.0,0.0,0.008695652173913044,0.1565217391304348,0.1391304347826087,0.008695652173913044,0.14782608695652175,0.5043478260869565,0.0,0.0,0.008771929824561403,0.0,0.08771929824561403,0.07017543859649122,0.08771929824561403,0.05263157894736842,0.07017543859649122,0.07017543859649122,0.06140350877192982,0.4298245614035088,19.99437570303712,0.0,35.742407199100114,10.095613048368953,31.467941507311586,0.11248593925759282,77.89651293588301,22.103487064116987,0.0,0.0,0.0,0.0,100.0,0.0,45.83802024746907,35.742407199100114,55.73678290213723,45.83802024746907,67.2103487064117,41.56355455568054,0.11248593925759282,31.580427446569182,77.30596175478065,77.41844769403825,77.41844769403825,0.5905511811023622,0.09842519685039369,41.56355455568054,65.83239595050618,31.580427446569182,50.806451612903224,41.935483870967744,50.0,18.548387096774192,15.32258064516129,4.838709677419355,0.8064516129032258,0.47625095250190497,0.07937515875031749
