Task,Date/Time,User,ResponsTask,Aufgabenniveau,Code
KS1a4K1_1,2021-10-13 12:36:39,HE1021-932,r,,FR14AN
KS2c5U6_1,2021-10-13 12:36:43,HE1021-936,f,mittel,RI09JI
KS1a4K2_1,2021-10-13 12:37:56,HE1021-932,r,,FR14AN
KS1a4K1_1,2021-10-13 12:37:57,HE1021-934,r,,KA16LY
KS2c5U12_1,2021-10-13 12:38:05,HE1021-936,f,mittel,RI09JI
KS1a4K3_1,2021-10-13 12:38:38,HE1021-932,r,,FR14AN
KS1a4K2_1,2021-10-13 12:38:54,HE1021-934,r,,KA16LY
KS1a4K3_1,2021-10-13 12:39:52,HE1021-934,r,,KA16LY
KS1c5U1_1,2021-10-13 12:39:55,HE1021-940,r,mittel,GR04ST
KS1c5U3_1,2021-10-13 12:40:28,HE1021-933,r,mittel,SC24SY
KS1c5U3_1,2021-10-13 12:40:28,HE1021-933,r,mittel,SC24SY
KS1c5U6_1,2021-10-13 12:40:45,HE1021-940,twr,hoch,GR04ST
KS2c2U1_1,2021-10-13 12:42:51,HE1021-938,r,,HA12BE
KS1a5K1_1,2021-10-13 12:43:08,HE1021-935,r,,SI17SO
KS1c5U10_1,2021-10-13 12:43:22,HE1021-940,f,hoch,GR04ST
KS2c2U2_1,2021-10-13 12:43:38,HE1021-938,twr,,HA12BE
KS1a5K2_1,2021-10-13 12:44:16,HE1021-935,twr,,SI17SO
KS1a5K1_1,2021-10-13 12:44:35,HE1021-932,f,,FR14AN
KS2c3U10_1,2021-10-13 12:45:03,HE1021-938,r,mittel,HA12BE
KS1a5K2_1,2021-10-13 12:45:28,HE1021-932,r,,FR14AN
KS2c4U7_1,2021-10-13 12:45:44,HE1021-940,r,mittel,GR04ST
KS1c6U5_1,2021-10-13 12:45:59,HE1021-933,twr,hoch,SC24SY
KS1a5K4_1,2021-10-13 12:46:09,HE1021-935,r,,SI17SO
KS2b1K3_1,2021-10-13 12:46:33,HE1021-922,r,,NI12KA
KS2c4U10_1,2021-10-13 12:47:17,HE1021-940,f,mittel,GR04ST
KS1a5K4_1,2021-10-13 12:47:37,HE1021-932,r,,FR14AN
KS2c4U5_1,2021-10-13 12:49:10,HE1021-940,twr,hoch,GR04ST
KS1c2U9_1,2021-10-13 12:49:55,HE1021-932,twr,mittel,FR14AN
KS1a5K1_1,2021-10-13 12:50:21,HE1021-934,twr,,KA16LY
KS2c3U7_1,2021-10-13 12:50:59,HE1021-938,r,hoch,HA12BE
KS2c4U6_1,2021-10-13 12:51:20,HE1021-940,twr,hoch,GR04ST
KS1c2U11_1,2021-10-13 12:51:27,HE1021-932,f,mittel,FR14AN
KS1a5K2_1,2021-10-13 12:51:29,HE1021-934,r,,KA16LY
